protein1 protein2 combined_score
511145.b0023 511145.b3340 925
511145.b0023 511145.b3310 945
511145.b0023 511145.b1717 945
511145.b0023 511145.b3636 945
511145.b0023 511145.b3301 945
511145.b0023 511145.b1089 945
511145.b0023 511145.b3637 945
511145.b0023 511145.b2185 945
511145.b0023 511145.b3298 984
511145.b0023 511145.b3230 984
511145.b0023 511145.b0051 809
511145.b0023 511145.b0693 457
511145.b0023 511145.b2609 984
511145.b0023 511145.b2784 691
511145.b0023 511145.b3339 935
511145.b0023 511145.b3065 984
511145.b0023 511145.b3341 984
511145.b0023 511145.b1718 482
511145.b0023 511145.b3167 800
511145.b0023 511145.b4550 935
511145.b0023 511145.b0884 453
511145.b0023 511145.b3556 800
511145.b0023 511145.b2171 281
511145.b0023 511145.b3316 984
511145.b0023 511145.b3294 945
511145.b0023 511145.b4200 984
511145.b0023 511145.b3185 945
511145.b0023 511145.b4203 945
511145.b0023 511145.b3983 935
511145.b0023 511145.b2891 935
511145.b0023 511145.b0172 885
511145.b0023 511145.b3980 800
511145.b0023 511145.b3309 945
511145.b0023 511145.b0296 905
511145.b0023 511145.b3297 993
511145.b0023 511145.b3186 945
511145.b0023 511145.b4161 818
511145.b0023 511145.b4147 951
511145.b0023 511145.b0191 800
511145.b0023 511145.b3313 945
511145.b0023 511145.b0911 941
511145.b0023 511145.b4391 465
511145.b0023 511145.b0436 800
511145.b0023 511145.b3169 800
511145.b0023 511145.b3314 984
511145.b0025 511145.b2383 204
511145.b0025 511145.b0844 900
511145.b0025 511145.b0980 900
511145.b0025 511145.b1198 455
511145.b0025 511145.b3947 204
511145.b0025 511145.b4055 900
511145.b0025 511145.b3812 900
511145.b0025 511145.b2943 205
511145.b0025 511145.b2819 542
511145.b0026 511145.b3847 199
511145.b0026 511145.b1454 223
511145.b0026 511145.b2400 633
511145.b0026 511145.b2697 183
511145.b0026 511145.b2569 435
511145.b0026 511145.b0838 223
511145.b0026 511145.b3751 508
511145.b0026 511145.b4253 508
511145.b0026 511145.b4129 831
511145.b0026 511145.b0424 457
511145.b0026 511145.b2114 843
511145.b0026 511145.b2908 199
511145.b0026 511145.b0194 884
511145.b0026 511145.b0642 918
511145.b0026 511145.b2301 223
511145.b0026 511145.b2989 223
511145.b0026 511145.b0893 520
511145.b0026 511145.b2780 451
511145.b0026 511145.b2411 508
511145.b0026 511145.b0674 163
511145.b0026 511145.b0144 558
511145.b0026 511145.b3229 223
511145.b0026 511145.b1635 223
511145.b0026 511145.b0975 508
511145.b0026 511145.b0930 613
511145.b0026 511145.b2890 828
511145.b0026 511145.b3592 223
511145.b0026 511145.b0780 508
511145.b0026 511145.b1876 871
511145.b0026 511145.b2699 370
511145.b0026 511145.b1713 425
511145.b0026 511145.b2385 199
511145.b0026 511145.b2302 223
511145.b0026 511145.b0526 553
511145.b0026 511145.b0680 760
511145.b0028 511145.b3314 459
511145.b0028 511145.b3982 190
511145.b0028 511145.b3961 234
511145.b0028 511145.b3295 243
511145.b0028 511145.b4239 217
511145.b0028 511145.b0169 467
511145.b0029 511145.b3414 408
511145.b0029 511145.b0490 188
511145.b0029 511145.b0156 373
511145.b0029 511145.b1208 376
511145.b0029 511145.b0051 248
511145.b0029 511145.b1204 505
511145.b0030 511145.b0414 189
511145.b0030 511145.b0086 179
511145.b0031 511145.b4382 277
511145.b0031 511145.b0181 227
511145.b0031 511145.b1190 227
511145.b0031 511145.b0131 286
511145.b0032 511145.b0436 457
511145.b0032 511145.b0033 995
511145.b0032 511145.b0014 286
511145.b0032 511145.b2181 457
511145.b0032 511145.b3197 215
511145.b0033 511145.b2312 286
511145.b0033 511145.b2873 157
511145.b0033 511145.b2069 153
511145.b0033 511145.b0512 157
511145.b0033 511145.b0032 995
511145.b0033 511145.b0014 153
511145.b0033 511145.b0650 153
511145.b0033 511145.b3642 303
511145.b0033 511145.b2699 163
511145.b0033 511145.b2526 153
511145.b0033 511145.b0436 457
